School Name,Rk,Gtm,Location,Opp,Type_adv,Score Rslt_adv,Score Tm_adv,Score Opp_adv,Score OT_adv,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team 2P,Team 2PA,Team 2P%,Team eFG%,Team FT,Team FTA,Team FT%,Team ORB,Team DRB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,Team PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent 2P,Opponent 2PA,Opponent 2P%,Opponent eFG%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent DRB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,_bas,Type_bas,Score Rslt_bas,Score Tm_bas,Score Opp_bas,Score OT_bas,Advanced ORtg,Advanced DRtg,Advanced Pace,Advanced FTr,Advanced 3PAr,Advanced TS%,Advanced TRB%,Advanced AST%,Advanced STL%,Advanced BLK%,Offensive Four Factors eFG%,Offensive Four Factors TOV%,Offensive Four Factors ORB%,Offensive Four Factors FT/FGA,Defensive Four Factors eFG%,Defensive Four Factors TOV%,Defensive Four Factors DRB%,Defensive Four Factors FT/FGA
ABILENE CHRISTIAN,27.5,27.5,,,,,72.7,68.1,,26.5,59.7,0.4481,4.3,14.1,0.32200000000000006,22.2,45.6,0.49329999999999996,0.48500000000000004,15.4,20.2,0.7449,8.9,21.0,29.9,13.6,11.5,3.2,13.9,22.9,23.7,54.3,0.43610000000000004,4.1,15.9,0.2516,19.6,38.4,0.512,0.47379999999999994,16.6,25.7,0.643,10.2,22.6,32.8,12.0,6.9,5.8,17.9,18.3,,,,72.7,68.1,,97.91,91.74,73.31,0.3432,0.24030000000000004,0.5271999999999999,47.46999999999999,52.21,15.389999999999997,8.3,0.48500000000000004,16.67,27.240000000000002,0.2612,0.47379999999999994,21.119999999999997,72.76,0.3107
AIR FORCE,27.5,27.5,,,,,58.8,78.1,,20.3,51.3,0.3991,8.3,26.9,0.30879999999999996,12.0,24.4,0.5027999999999999,0.47939999999999994,9.9,15.5,0.6513,5.2,21.9,27.1,13.9,5.4,2.4,13.1,19.0,28.1,56.8,0.4952,7.0,20.3,0.3393,21.1,36.5,0.5809,0.5578,14.9,21.0,0.7182,7.9,26.0,33.9,13.3,7.4,3.6,8.8,15.2,,,,58.8,78.1,,87.77000000000001,116.95,66.32,0.31199999999999994,0.5214,0.5029,44.7,68.5,8.02,6.539999999999999,0.47939999999999994,18.220000000000002,17.089999999999996,0.1984,0.5578,11.709999999999999,82.91,0.2631
AKRON,30.5,30.5,,,,,82.5,78.2,,29.2,62.3,0.4697,9.0,25.6,0.35070000000000007,20.2,36.7,0.5529,0.542,15.1,19.7,0.7615000000000001,9.4,22.8,32.2,14.8,6.9,3.7,9.6,16.7,28.5,61.6,0.4612,7.9,23.5,0.3315,20.6,38.1,0.5336,0.5253,13.3,18.6,0.6778,8.6,20.9,29.5,12.3,5.9,2.5,10.9,17.5,,,,82.5,78.2,,114.3,108.43000000000002,72.3,0.32280000000000003,0.4083,0.576,52.56,49.96,9.48,9.87,0.542,11.790000000000001,32.68,0.24830000000000005,0.5253,13.25,67.32000000000001,0.21760000000000002
ALABAMA,32.5,32.5,,,,,90.3,83.6,,31.6,65.3,0.4845,11.5,30.1,0.3673,20.1,35.2,0.5744,0.5715999999999999,15.6,21.6,0.7308000000000001,8.5,27.4,35.9,18.8,6.8,3.8,10.6,18.8,30.2,68.3,0.44239999999999996,7.1,23.4,0.31040000000000006,23.1,44.9,0.5168,0.49450000000000005,16.1,22.6,0.7128,10.4,24.4,34.8,15.7,7.0,4.3,10.4,18.6,,,,90.3,83.6,,114.96,106.71,77.42,0.33349999999999996,0.45699999999999996,0.597,50.93,58.839999999999996,8.67,8.399999999999999,0.5715999999999999,12.34,25.96,0.24040000000000003,0.49450000000000005,11.7,74.04,0.2444
ALABAMA A&M,27.5,27.5,,,,,64.3,72.3,,21.0,54.3,0.38780000000000003,7.2,23.3,0.309,13.8,31.0,0.4384,0.45489999999999997,15.1,23.0,0.6618,9.4,19.8,29.2,11.5,7.4,3.6,13.9,20.9,24.2,50.4,0.48149999999999993,7.2,18.2,0.3913,17.0,32.2,0.5250999999999999,0.5535,16.7,25.4,0.6948000000000001,6.6,24.6,31.2,13.3,8.3,3.0,13.8,18.4,,,,64.3,72.3,,92.13000000000001,104.77000000000001,69.70000000000002,0.4295,0.4266,0.4923,48.4,54.95,10.53,11.299999999999999,0.45489999999999997,17.490000000000002,27.870000000000005,0.2821,0.5535,17.94,72.14,0.33890000000000003
ALABAMA STATE,31.5,31.5,,,,,68.8,64.1,,24.8,63.0,0.395,7.9,25.6,0.30510000000000004,16.9,37.4,0.45220000000000005,0.4584,11.3,15.8,0.6934,9.6,23.7,33.3,10.8,9.8,2.8,8.1,17.5,22.5,52.6,0.42800000000000005,6.0,19.9,0.30050000000000004,16.5,32.7,0.5109,0.4848,13.1,20.3,0.6684,8.1,25.7,33.8,11.4,4.3,3.9,13.5,15.0,,,,68.8,64.1,,100.61,93.36,68.33,0.2529,0.4062,0.4896,49.62,43.44,14.3,8.51,0.4584,10.34,26.939999999999998,0.1816,0.4848,17.87,73.05999999999999,0.24910000000000002
ALBANY (NY),28.5,28.5,,,,,74.1,72.7,,26.9,61.5,0.43600000000000005,8.3,23.3,0.3572,18.6,38.2,0.4867,0.5035,12.0,17.7,0.6839999999999999,10.8,21.4,32.2,13.2,7.6,3.6,9.9,14.8,26.6,56.9,0.4685999999999999,7.3,19.6,0.36920000000000003,19.3,37.3,0.5206,0.5339,12.2,16.0,0.7703,7.6,22.5,30.1,12.1,5.6,5.3,12.2,15.4,,,,74.1,72.7,,107.54,105.34,68.21000000000001,0.29190000000000005,0.38089999999999996,0.5296000000000001,51.71,49.14999999999999,10.91,9.51,0.5035,12.3,32.36,0.1987,0.5339,15.739999999999998,67.64000000000001,0.2152
ALCORN STATE,27.5,27.5,,,,,70.9,65.5,,26.8,57.6,0.46959999999999996,3.9,14.1,0.2671,22.9,43.5,0.5387,0.5042,13.4,18.6,0.7109,8.7,22.5,31.2,10.2,6.8,2.0,8.7,16.3,23.9,53.2,0.44750000000000006,7.1,20.7,0.3407,16.8,32.5,0.5186,0.5136,10.6,16.6,0.6361,6.9,19.8,26.7,13.0,4.6,3.6,11.8,14.5,,,,70.9,65.5,,107.2,98.97,66.22999999999999,0.32920000000000005,0.2493,0.5365999999999999,54.129999999999995,38.839999999999996,10.31,5.86,0.5042,11.62,30.509999999999998,0.23729999999999998,0.5136,16.24,69.48999999999998,0.2088
AMERICAN,30.5,30.5,,,,,66.5,62.2,,24.6,54.4,0.45380000000000004,8.9,24.7,0.36019999999999996,15.7,29.7,0.5341,0.5363,8.4,11.8,0.7102999999999999,5.7,21.7,27.4,13.2,7.7,1.3,9.4,15.0,22.6,51.4,0.43970000000000004,7.2,21.3,0.3428,15.4,30.1,0.5146,0.5097,9.8,13.9,0.6986,6.7,23.5,30.2,13.0,5.4,3.0,12.2,13.9,,,,66.5,62.2,,104.46,97.48999999999998,63.61,0.2166,0.4535,0.5569,47.82,52.870000000000005,12.169999999999998,4.2299999999999995,0.5363,13.55,19.080000000000002,0.15450000000000003,0.5097,17.390000000000004,80.92,0.1951
APPALACHIAN STATE,26.5,26.5,,,,,65.1,64.9,,22.9,55.5,0.41229999999999994,7.0,21.9,0.3266,15.9,33.6,0.46869999999999995,0.4758,12.3,19.3,0.6351,8.2,24.2,32.4,11.0,4.6,3.6,9.1,12.1,24.8,60.1,0.4122,7.0,21.2,0.33229999999999993,17.8,38.9,0.4593,0.4706,8.3,11.9,0.7072,8.2,24.9,33.1,12.9,5.1,4.3,7.9,16.1,,,,65.1,64.9,,99.4,99.03,64.66,0.3516,0.3945,0.5035999999999999,49.540000000000006,47.309999999999995,7.13,9.520000000000001,0.4758,12.25,24.62,0.22510000000000002,0.4706,10.77,75.39000000000001,0.1407
