School Name,Rk,Gtm,Location,Opp,Type_adv,Score Rslt_adv,Score Tm_adv,Score Opp_adv,Score OT_adv,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team 2P,Team 2PA,Team 2P%,Team eFG%,Team FT,Team FTA,Team FT%,Team ORB,Team DRB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,Team PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent 2P,Opponent 2PA,Opponent 2P%,Opponent eFG%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent DRB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,_bas,Type_bas,Score Rslt_bas,Score Tm_bas,Score Opp_bas,Score OT_bas,Advanced ORtg,Advanced DRtg,Advanced Pace,Advanced FTr,Advanced 3PAr,Advanced TS%,Advanced TRB%,Advanced AST%,Advanced STL%,Advanced BLK%,Offensive Four Factors eFG%,Offensive Four Factors TOV%,Offensive Four Factors ORB%,Offensive Four Factors FT/FGA,Defensive Four Factors eFG%,Defensive Four Factors TOV%,Defensive Four Factors DRB%,Defensive Four Factors FT/FGA
ARIZONA,32.5,32.5,,,,,85.0,81.0,,29.3,61.3,0.47650000000000003,8.4,21.1,0.39890000000000003,20.9,40.2,0.5196,0.5437000000000001,18.0,22.7,0.7627,10.5,24.8,35.3,13.4,5.8,4.9,9.4,18.6,27.7,62.2,0.4473,9.5,23.7,0.4069,18.2,38.5,0.47050000000000003,0.5243,16.1,21.4,0.752,9.0,20.4,29.4,13.7,4.5,3.5,8.6,18.0,,,,85.0,81.0,,118.78,113.47,71.47,0.3728999999999999,0.34299999999999997,0.5876,54.15,45.04,8.069999999999999,12.48,0.5437000000000001,11.55,33.720000000000006,0.2972,0.5243,10.620000000000001,66.28,0.26280000000000003
ARIZONA STATE,28.5,28.5,,,,,76.2,86.4,,26.1,57.9,0.4473000000000001,8.2,22.5,0.3581,17.9,35.4,0.5084000000000001,0.5173,15.8,20.8,0.7557,5.6,19.5,25.1,12.1,4.7,2.9,10.0,18.1,30.1,60.2,0.4993,9.6,25.2,0.3781,20.5,35.0,0.5831,0.5789,16.6,22.6,0.7162000000000001,8.1,26.7,34.8,16.7,6.4,3.6,10.2,17.7,,,,76.2,86.4,,104.38,118.77000000000001,70.88,0.3674,0.3922,0.5588,41.75,46.85,6.3100000000000005,8.27,0.5173,12.940000000000001,16.93,0.2777,0.5789,12.48,83.07,0.27849999999999997
ARKANSAS,31.5,31.5,,,,,80.3,78.1,,26.8,58.9,0.4548,6.7,21.4,0.3151,20.1,37.5,0.5352999999999999,0.5115999999999999,20.0,26.1,0.7794,8.7,24.3,33.0,13.2,7.0,5.1,11.9,16.4,27.3,66.4,0.41370000000000007,8.2,25.1,0.3304,19.1,41.3,0.4652,0.4762000000000001,15.3,19.5,0.7969,11.8,22.3,34.1,13.0,7.1,2.9,10.6,20.2,,,,80.3,78.1,,107.52000000000001,104.83,72.77,0.45030000000000003,0.3642,0.5627,49.27,49.45,9.399999999999999,12.73,0.5115999999999999,14.279999999999998,27.9,0.3448,0.4762000000000001,12.419999999999998,72.1,0.23630000000000004
ARKANSAS STATE,31.5,31.5,,,,,79.6,71.4,,27.9,64.8,0.4255,9.9,30.5,0.3172,18.0,34.3,0.5292000000000001,0.5006999999999999,13.9,19.1,0.6970000000000001,13.2,26.3,39.5,15.9,6.6,4.7,9.7,17.9,24.7,59.5,0.41600000000000004,6.1,18.8,0.32609999999999995,18.6,40.7,0.4619,0.4673,15.9,22.1,0.7272000000000001,9.3,23.3,32.6,11.2,6.5,4.1,9.1,15.3,,,,79.6,71.4,,113.19000000000001,101.89000000000001,70.09,0.30710000000000004,0.4713,0.536,54.660000000000004,56.459999999999994,9.42,11.39,0.5006999999999999,11.500000000000002,36.33,0.22490000000000004,0.4673,11.489999999999998,63.67,0.26670000000000005
ARKANSAS-PINE BLUFF,26.5,26.5,,,,,67.7,73.5,,25.0,56.9,0.4438000000000001,6.4,19.7,0.3509,18.6,37.2,0.4993,0.5001,11.3,19.8,0.5759000000000001,7.6,23.1,30.7,15.4,7.7,2.4,12.9,16.5,25.8,59.0,0.44089999999999996,8.8,25.6,0.337,17.0,33.4,0.5253,0.5156000000000001,13.1,19.8,0.6484,10.8,24.4,35.2,13.5,7.1,3.7,12.8,17.8,,,,67.7,73.5,,96.44,103.7,71.01,0.35329999999999995,0.3428,0.5141000000000001,47.0,62.65999999999999,10.66,7.219999999999999,0.5001,16.17,24.73,0.2008,0.5156000000000001,15.7,75.27000000000001,0.2232
ARMY,28.5,28.5,,,,,69.8,78.4,,24.4,60.2,0.40590000000000004,7.4,25.6,0.285,17.0,34.6,0.49329999999999996,0.4664,13.6,18.2,0.7248,7.5,21.5,29.0,11.1,7.1,2.2,9.6,17.1,28.1,59.0,0.47440000000000004,9.4,25.0,0.3784,18.7,34.0,0.5454999999999999,0.5538,12.8,18.8,0.6629999999999999,9.5,27.2,36.7,15.4,6.2,3.0,11.1,16.9,,,,69.8,78.4,,98.64,110.95,68.52,0.3021,0.42250000000000004,0.5047,44.11,45.13,9.98,6.630000000000001,0.4664,12.33,21.2,0.22569999999999996,0.5538,13.959999999999999,78.8,0.2222
AUBURN,32.5,32.5,,,,,80.3,71.9,,28.0,59.8,0.4701000000000001,8.7,24.4,0.36,19.3,35.4,0.5519999999999999,0.5438999999999999,15.6,22.4,0.6969000000000001,9.3,22.4,31.7,15.3,5.7,4.5,9.5,19.0,24.1,57.1,0.42300000000000004,6.4,21.2,0.2989,17.7,35.9,0.4962,0.4788999999999999,17.3,23.4,0.7313999999999999,8.5,22.0,30.5,10.7,6.2,2.6,11.0,19.3,,,,80.3,71.9,,113.49000000000004,102.22999999999999,69.76,0.38029999999999997,0.41059999999999997,0.5707000000000001,51.050000000000004,54.75,8.15,12.41,0.5438999999999999,11.9,29.73,0.26570000000000005,0.4788999999999999,13.809999999999999,70.27000000000001,0.314
AUSTIN PEAY,28.5,28.5,,,,,76.5,76.3,,28.0,60.5,0.4636000000000001,9.4,23.9,0.3959,18.6,36.6,0.5125,0.5419,11.1,14.9,0.7291000000000001,8.1,21.9,30.0,15.1,5.8,3.2,7.7,18.0,26.4,54.8,0.4832000000000001,8.4,20.1,0.4063,18.0,34.7,0.527,0.5614000000000001,15.1,21.0,0.732,6.8,22.9,29.7,13.8,5.3,3.9,9.1,13.1,,,,76.5,76.3,,114.82000000000001,114.32000000000001,67.14,0.25220000000000004,0.3949,0.5692999999999999,50.26,54.24000000000001,8.66,9.98,0.5419,9.96,25.369999999999997,0.18919999999999998,0.5614000000000001,12.32,74.63,0.2842
BALL STATE,26.5,26.5,,,,,73.8,75.3,,25.2,56.6,0.4487,6.7,19.7,0.3434,18.5,36.9,0.5058,0.5086,16.7,22.3,0.7693,7.4,23.0,30.4,12.3,4.7,2.2,10.6,15.7,28.5,60.7,0.46909999999999996,7.1,24.1,0.2845,21.4,36.6,0.5816999999999999,0.5264,11.2,15.3,0.7234999999999999,7.6,23.3,30.9,15.1,6.0,3.5,9.3,19.4,,,,73.8,75.3,,105.10999999999999,107.54,68.35,0.4039,0.3486,0.5508,49.22,49.11,6.640000000000001,6.34,0.5086,13.7,23.910000000000004,0.30350000000000005,0.5264,11.970000000000002,76.09,0.1893
BAYLOR,30.5,30.5,,,,,68.6,69.6,,24.4,59.8,0.40990000000000004,7.3,23.9,0.303,17.1,35.9,0.47750000000000004,0.4711,12.5,16.9,0.7627999999999999,10.8,20.2,31.0,12.1,6.6,2.1,8.7,17.1,23.8,53.4,0.4511,7.9,22.8,0.3355,15.9,30.6,0.5322,0.526,14.1,18.7,0.7503,8.6,22.0,30.6,13.4,5.6,2.8,9.8,16.2,,,,68.6,69.6,,106.60999999999999,108.35,64.61,0.2853,0.40120000000000006,0.5083,50.24,49.88,10.06,7.209999999999999,0.4711,11.34,32.9,0.2104,0.526,13.37,67.1,0.273
BELLARMINE,26.5,26.5,,,,,77.4,80.5,,28.8,58.0,0.49720000000000003,8.9,23.8,0.37489999999999996,19.9,34.2,0.5797000000000001,0.5740999999999999,10.9,14.7,0.7411000000000001,4.8,20.2,25.0,13.6,7.6,1.8,9.1,18.7,25.8,55.4,0.47050000000000003,9.9,26.5,0.3771,15.9,28.9,0.5565,0.5601,19.0,24.0,0.7694000000000001,7.9,24.1,32.0,15.3,5.6,2.3,11.1,14.4,,,,77.4,80.5,,110.8,115.51000000000002,67.99,0.257,0.41150000000000003,0.5962000000000001,43.830000000000005,47.0,10.860000000000003,6.220000000000001,0.5740999999999999,12.44,15.940000000000001,0.19129999999999997,0.5601,14.24,84.07000000000001,0.3558
BELMONT,28.5,28.5,,,,,74.6,71.6,,27.3,59.1,0.4614000000000001,10.5,26.0,0.3953,16.8,33.1,0.5085999999999999,0.5505,9.5,14.1,0.648,6.5,22.4,28.9,17.1,8.0,2.9,10.4,15.2,26.1,57.5,0.45709999999999995,8.3,24.9,0.3365,17.8,32.6,0.5448000000000001,0.5285000000000001,11.1,15.8,0.6768,8.6,23.8,32.4,15.1,7.1,3.4,12.6,14.8,,,,74.6,71.6,,107.45,103.38,69.35999999999999,0.23570000000000002,0.4427,0.5677000000000001,46.78,62.69,11.629999999999999,8.89,0.5505,13.679999999999998,21.439999999999998,0.1584,0.5285000000000001,16.359999999999996,78.55999999999999,0.20260000000000003
BETHUNE-COOKMAN,28.5,28.5,,,,,70.6,71.7,,24.5,55.4,0.45310000000000006,6.7,19.0,0.3639,17.8,36.4,0.502,0.516,14.9,21.1,0.7083,8.6,23.5,32.1,15.7,6.1,3.8,13.6,14.9,26.3,60.7,0.43579999999999997,5.5,19.6,0.31240000000000007,20.8,41.1,0.5117,0.4816999999999999,13.6,18.4,0.7424,8.5,22.6,31.1,13.7,8.0,2.7,10.0,17.8,,,,70.6,71.7,,100.01,101.52000000000001,70.67999999999999,0.4003,0.3451,0.549,50.79,64.05,8.68,8.93,0.516,17.329999999999995,27.589999999999996,0.28369999999999995,0.4816999999999999,12.62,72.41,0.231
BINGHAMTON,27.5,27.5,,,,,69.5,69.7,,25.0,56.3,0.4469,5.7,18.7,0.3,19.3,37.6,0.5161,0.49849999999999994,13.8,20.0,0.6583,8.7,28.0,36.7,10.9,5.0,2.9,12.2,13.9,25.9,62.2,0.422,7.7,26.2,0.2932,18.2,36.0,0.508,0.48419999999999996,10.2,15.2,0.7069000000000001,7.7,22.8,30.5,11.9,8.0,4.8,8.2,16.7,,,,69.5,69.7,,99.91999999999999,100.66999999999999,68.73,0.35829999999999995,0.3339,0.5311,54.410000000000004,43.44,7.17,8.02,0.49849999999999994,15.649999999999997,27.320000000000004,0.2476,0.48419999999999996,10.620000000000001,72.67999999999999,0.16640000000000002
BOISE STATE,31.5,31.0,,,,,72.22222222222223,64.88888888888889,,24.22222222222222,56.55555555555556,0.4256666666666667,8.0,27.666666666666668,0.2934444444444444,16.22222222222222,28.88888888888889,0.558,0.4972222222222222,15.777777777777779,19.666666666666668,0.8022222222222222,9.88888888888889,23.77777777777778,33.666666666666664,13.333333333333334,6.555555555555555,2.888888888888889,9.11111111111111,17.0,22.666666666666668,52.44444444444444,0.4343333333333333,7.777777777777778,21.0,0.37233333333333335,14.88888888888889,31.444444444444443,0.47688888888888886,0.5096666666666666,11.777777777777779,18.22222222222222,0.6375555555555555,5.888888888888889,20.666666666666668,26.555555555555557,10.555555555555555,5.0,1.6666666666666667,10.222222222222221,16.77777777777778,,,,72.22222222222223,64.88888888888889,,110.43333333333334,100.19999999999999,65.27777777777777,0.35366666666666663,0.49511111111111106,0.5466666666666666,55.91111111111112,55.03333333333334,9.755555555555556,9.477777777777778,0.4972222222222222,12.288888888888888,32.355555555555554,0.28311111111111115,0.5096666666666666,14.2,67.64444444444445,0.22788888888888892
BOSTON COLLEGE,26.5,26.5,,,,,69.0,76.7,,25.3,59.6,0.4222,6.6,21.0,0.3109,18.7,38.6,0.48789999999999994,0.4766,11.8,17.0,0.6711,7.7,23.6,31.3,11.6,5.8,3.9,11.6,17.6,27.8,62.2,0.44209999999999994,7.2,22.0,0.32530000000000003,20.6,40.2,0.5085,0.49989999999999996,13.9,20.1,0.6837,10.8,25.9,36.7,12.6,7.5,3.1,11.0,15.5,,,,69.0,76.7,,95.91,106.08999999999999,67.66,0.2929,0.35369999999999996,0.5081,45.86999999999999,45.2,8.260000000000002,10.23,0.4766,14.61,22.830000000000002,0.20529999999999998,0.49989999999999996,13.51,77.18999999999998,0.2209
BOSTON UNIVERSITY,27.5,27.5,,,,,69.4,70.5,,25.0,56.5,0.4422,7.5,21.4,0.35059999999999997,17.5,35.1,0.4993,0.5090999999999999,11.9,16.3,0.7077,9.2,22.3,31.5,11.6,6.5,2.9,11.9,18.0,24.1,51.7,0.46770000000000006,7.5,21.1,0.35200000000000004,16.6,30.6,0.5453,0.5405,14.8,19.9,0.7424,5.5,20.1,25.6,12.2,7.0,3.4,10.7,15.7,,,,69.4,70.5,,103.88,105.45,65.03,0.28579999999999994,0.3784,0.5387,55.05,47.35,9.58,9.069999999999999,0.5090999999999999,15.669999999999998,30.879999999999995,0.20729999999999998,0.5405,14.91,69.13000000000001,0.29440000000000005
BOWLING GREEN STATE,27.5,27.5,,,,,69.1,68.7,,24.2,55.7,0.4356,7.3,20.8,0.3546,16.9,34.9,0.4835,0.5012000000000001,13.4,18.4,0.7333999999999999,6.2,26.0,32.2,11.3,6.2,3.1,12.0,17.0,24.3,58.4,0.41529999999999995,7.9,25.9,0.3036,16.4,32.5,0.4971,0.48260000000000003,12.2,15.8,0.7490999999999999,7.0,24.9,31.9,13.7,6.9,4.0,11.0,16.4,,,,69.1,68.7,,98.61999999999999,97.37,70.07000000000001,0.33269999999999994,0.3713,0.5363,50.260000000000005,46.91,8.809999999999999,10.0,0.5012000000000001,15.61,19.639999999999997,0.24150000000000005,0.48260000000000003,14.27,80.35999999999999,0.21620000000000003
BRADLEY,32.5,32.5,,,,,70.4,67.2,,25.5,54.1,0.4725,8.0,21.7,0.35740000000000005,17.5,32.4,0.545,0.545,11.4,17.1,0.6815,6.7,24.2,30.9,13.1,4.9,4.3,9.7,17.1,22.4,56.0,0.4021,8.0,24.0,0.3339,14.4,32.0,0.45990000000000003,0.4734,14.4,19.3,0.735,8.5,21.8,30.3,12.0,6.1,2.5,8.3,16.9,,,,70.4,67.2,,107.78,103.4,64.27000000000001,0.32330000000000003,0.40280000000000005,0.5666,50.3,52.480000000000004,7.51,13.27,0.545,13.61,22.81,0.21519999999999997,0.4734,11.229999999999999,77.2,0.2621
BRIGHAM YOUNG,31.5,31.5,,,,,84.6,83.0,,29.5,61.1,0.48290000000000005,10.4,28.0,0.36410000000000003,19.1,33.1,0.5740999999999999,0.5684,15.2,20.3,0.7561,9.1,23.8,32.9,17.6,6.8,2.8,11.7,18.6,27.8,62.8,0.4438,12.1,31.7,0.3755,15.7,31.1,0.5115999999999999,0.5396,15.3,19.7,0.7488,9.7,20.5,30.2,14.4,7.4,3.1,9.9,19.4,,,,84.6,83.0,,116.24000000000001,113.74000000000001,71.15,0.338,0.4574,0.5975999999999999,52.15999999999999,59.510000000000005,9.239999999999998,9.209999999999999,0.5684,13.85,30.330000000000002,0.2523,0.5396,11.87,69.67,0.24769999999999998
BROWN,22.5,22.5,,,,,70.6,69.6,,26.7,59.1,0.45220000000000005,6.6,22.1,0.28779999999999994,20.1,37.0,0.53,0.5093,10.6,17.0,0.6082,8.4,25.3,33.7,14.1,5.6,5.5,10.4,15.9,24.4,60.0,0.40840000000000004,8.3,26.9,0.3106,16.1,33.1,0.4877000000000001,0.47780000000000006,12.5,17.8,0.6879000000000001,8.6,24.1,32.7,13.1,6.1,3.1,9.6,14.5,,,,70.6,69.6,,101.69999999999999,100.28999999999999,69.31,0.2963,0.37689999999999996,0.5271,50.84,52.07000000000001,8.09,16.540000000000003,0.5093,13.540000000000001,25.020000000000003,0.187,0.47780000000000006,12.389999999999999,74.98,0.20749999999999996
BRYANT,30.5,30.5,,,,,79.0,70.8,,30.1,65.5,0.4588000000000001,6.1,21.8,0.28200000000000003,24.0,43.7,0.5474999999999999,0.5052,12.7,18.3,0.6908000000000001,11.6,26.3,37.9,15.2,6.4,6.3,11.1,15.2,26.6,63.1,0.42210000000000003,7.0,21.2,0.31820000000000004,19.6,41.9,0.4710000000000001,0.47680000000000006,10.6,16.2,0.6500999999999999,8.1,23.4,31.5,11.8,6.8,3.3,11.3,17.1,,,,79.0,70.8,,106.67999999999999,96.16,73.84,0.2829,0.33320000000000005,0.5314,54.82000000000001,49.88,8.59,15.23,0.5052,12.940000000000001,33.41,0.1958,0.47680000000000006,13.7,66.59,0.17009999999999997
BUCKNELL,28.5,28.5,,,,,80.0,70.0,,29.2,55.5,0.5246999999999999,8.3,20.7,0.39909999999999995,20.9,34.8,0.5978000000000001,0.5984999999999999,13.3,19.9,0.6767,7.8,24.3,32.1,14.7,6.1,3.2,11.3,17.7,23.2,54.9,0.4171,8.6,23.8,0.35939999999999994,14.6,31.1,0.4699,0.4941000000000001,15.0,22.0,0.6428,5.9,19.4,25.3,11.8,7.2,2.9,9.9,17.1,,,,80.0,70.0,,115.73000000000002,100.17,66.39,0.3617,0.3696,0.6154999999999999,56.1,50.980000000000004,8.77,10.55,0.5984999999999999,14.919999999999998,27.940000000000005,0.24409999999999998,0.4941000000000001,13.070000000000002,72.06,0.28019999999999995
BUFFALO,26.5,26.5,,,,,70.6,79.3,,24.5,57.1,0.4326,7.0,22.7,0.31649999999999995,17.5,34.4,0.513,0.4939,14.6,20.3,0.7192000000000001,8.6,22.7,31.3,11.6,6.1,2.9,14.1,17.1,29.1,60.4,0.4795999999999999,7.3,19.3,0.38230000000000003,21.8,41.1,0.5312,0.5391000000000001,13.8,18.2,0.7475,9.3,23.7,33.0,15.2,8.5,2.6,10.9,16.9,,,,70.6,79.3,,99.16,111.05999999999999,71.44,0.37160000000000004,0.392,0.5339,48.9,47.47,8.55,7.06,0.4939,17.579999999999995,25.990000000000002,0.2637,0.5391000000000001,13.669999999999998,74.00999999999999,0.23500000000000001
BUTLER,30.5,30.0,,,,,73.0,79.22222222222223,,26.444444444444443,60.0,0.44033333333333335,9.222222222222221,26.555555555555557,0.3467777777777778,17.22222222222222,33.44444444444444,0.5143333333333334,0.5177777777777778,10.88888888888889,14.666666666666666,0.7503333333333333,6.222222222222222,24.444444444444443,30.666666666666668,12.555555555555555,4.777777777777778,2.111111111111111,9.0,12.0,30.88888888888889,66.44444444444444,0.4676666666666666,8.88888888888889,26.77777777777778,0.3302222222222222,22.0,39.666666666666664,0.5597777777777777,0.5351111111111112,8.555555555555555,11.222222222222221,0.7521111111111112,10.11111111111111,26.22222222222222,36.333333333333336,16.22222222222222,6.333333333333333,3.3333333333333335,8.0,15.444444444444445,,,,73.0,79.22222222222223,,105.06666666666666,114.08888888888889,69.71111111111112,0.25100000000000006,0.4467777777777779,0.5447777777777778,46.111111111111114,48.35555555555556,6.955555555555556,5.311111111111111,0.5177777777777778,11.600000000000001,19.099999999999998,0.18633333333333335,0.5351111111111112,9.933333333333334,80.89999999999999,0.1328888888888889
CAL POLY,30.5,30.5,,,,,88.2,82.3,,31.1,64.5,0.4824,13.8,33.9,0.40440000000000004,17.3,30.6,0.5616,0.5903,12.2,15.4,0.7889,7.8,22.1,29.9,15.5,8.6,2.0,14.0,18.1,29.2,63.2,0.46270000000000006,8.7,26.4,0.3343,20.5,36.8,0.5697,0.5316,15.2,19.6,0.771,9.4,23.5,32.9,16.0,7.1,2.4,14.4,17.1,,,,88.2,82.3,,113.3,106.0,76.78999999999999,0.238,0.5276000000000001,0.6139,47.45,50.510000000000005,11.03,5.109999999999999,0.5903,16.32,25.009999999999998,0.1894,0.5316,16.41,74.99,0.24169999999999997
