School Name,Rk,Gtm,Location,Opp,Type_adv,Score Rslt_adv,Score Tm_adv,Score Opp_adv,Score OT_adv,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team 2P,Team 2PA,Team 2P%,Team eFG%,Team FT,Team FTA,Team FT%,Team ORB,Team DRB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,Team PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent 2P,Opponent 2PA,Opponent 2P%,Opponent eFG%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent DRB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,_bas,Type_bas,Score Rslt_bas,Score Tm_bas,Score Opp_bas,Score OT_bas,Advanced ORtg,Advanced DRtg,Advanced Pace,Advanced FTr,Advanced 3PAr,Advanced TS%,Advanced TRB%,Advanced AST%,Advanced STL%,Advanced BLK%,Offensive Four Factors eFG%,Offensive Four Factors TOV%,Offensive Four Factors ORB%,Offensive Four Factors FT/FGA,Defensive Four Factors eFG%,Defensive Four Factors TOV%,Defensive Four Factors DRB%,Defensive Four Factors FT/FGA
AUSTIN PEAY,23.5,23.5,,,,,75.8,78.05,,27.1,62.0,0.43879999999999997,9.4,25.6,0.37245,17.7,36.4,0.48685,0.5149,12.2,16.5,0.71535,7.9,22.25,30.15,13.85,6.45,2.85,8.1,17.25,27.45,58.55,0.4739999999999999,8.05,20.5,0.3919500000000001,19.4,38.05,0.5187,0.5444500000000001,15.1,20.5,0.7398,8.55,25.8,34.35,13.25,5.3,5.05,9.85,14.45,,,,75.8,78.05,,109.01500000000001,112.31500000000001,68.51,0.27465,0.41185,0.5438500000000001,47.010000000000005,50.809999999999995,9.290000000000001,7.875,0.5149,10.190000000000001,23.439999999999998,0.20439999999999997,0.5444500000000001,12.72,76.55999999999999,0.2626
BALL STATE,21.5,21.5,,,,,75.95,76.5,,25.7,55.85,0.46319999999999995,7.05,19.9,0.35645,18.65,35.95,0.5209999999999999,0.5271000000000001,17.5,24.6,0.7243499999999999,8.05,23.45,31.5,13.7,4.4,2.45,11.75,15.95,28.5,61.9,0.4615,7.7,25.05,0.3107,20.8,36.85,0.5618500000000001,0.52325,11.8,16.4,0.72065,8.3,21.95,30.25,14.75,6.6,3.3,8.95,20.1,,,,75.95,76.5,,107.06999999999998,108.42,69.94000000000001,0.446,0.3574,0.5643499999999999,50.769999999999996,53.44500000000001,6.1450000000000005,6.755,0.5271000000000001,14.790000000000001,26.434999999999995,0.31795000000000007,0.52325,11.285,73.565,0.1938
BAYLOR,25.5,25.5,,,,,71.6,71.65,,24.55,57.8,0.42815000000000003,7.7,23.25,0.33165000000000006,16.85,34.55,0.4892,0.49565000000000003,14.8,19.15,0.7771,9.95,20.6,30.55,12.8,6.5,2.2,9.6,16.9,25.2,55.55,0.4574000000000001,7.9,22.7,0.3472,17.3,32.85,0.5332500000000001,0.5290999999999999,13.35,18.2,0.7295,9.2,21.15,30.35,14.35,5.85,3.35,10.15,17.15,,,,71.6,71.65,,109.01999999999998,109.30999999999999,65.04499999999999,0.3359,0.4028500000000001,0.53895,49.99000000000001,52.15,9.755,6.9350000000000005,0.49565000000000003,12.6,31.909999999999997,0.2596,0.5290999999999999,13.525,68.08999999999999,0.24684999999999996
BELLARMINE,21.5,21.5,,,,,70.8,80.9,,25.95,56.35,0.45924999999999994,8.45,23.85,0.3583,17.5,32.5,0.5315000000000001,0.53435,10.45,14.05,0.746,5.2,20.1,25.3,12.85,6.25,1.75,9.75,17.25,27.5,56.45,0.4891500000000001,10.75,27.9,0.38359999999999994,16.75,28.55,0.5929,0.5843499999999999,15.15,19.75,0.7415999999999999,8.25,24.55,32.8,16.1,6.35,2.3,9.95,14.4,,,,70.8,80.9,,104.425,119.96,66.73499999999999,0.2533,0.42355,0.56065,43.56999999999999,49.285000000000004,9.155000000000001,6.055000000000001,0.53435,13.510000000000002,17.119999999999997,0.18914999999999998,0.5843499999999999,13.075,82.88499999999999,0.2798
BELMONT,23.5,23.5,,,,,78.15,75.85,,27.85,61.05,0.45655,10.6,27.55,0.3862,17.25,33.5,0.51515,0.5435000000000001,11.85,16.35,0.7014500000000001,8.15,23.25,31.4,16.85,7.2,2.95,10.55,15.5,27.55,60.3,0.4588,9.0,26.65,0.33695,18.55,33.65,0.55475,0.53305,11.75,16.85,0.6780499999999999,9.35,24.1,33.45,15.4,6.85,3.65,11.45,15.55,,,,78.15,75.85,,110.43999999999998,107.29499999999999,70.82000000000001,0.26654999999999995,0.4519,0.5685500000000001,48.265,60.835,10.23,8.52,0.5435000000000001,13.309999999999999,25.244999999999997,0.1925,0.53305,14.404999999999998,74.755,0.20015
BETHUNE-COOKMAN,23.5,23.5,,,,,71.25,69.95,,24.8,56.0,0.4485,6.2,19.1,0.328,18.6,36.9,0.5114500000000001,0.50515,15.45,22.3,0.7011499999999999,9.55,24.85,34.4,15.1,6.15,3.8,13.15,15.3,25.2,59.65,0.4234,5.85,20.5,0.29495000000000005,19.35,39.15,0.49795000000000006,0.47280000000000005,13.7,19.15,0.7211000000000001,8.4,22.25,30.65,13.15,7.95,3.2,10.4,18.75,,,,71.25,69.95,,101.195,99.27000000000001,70.47000000000001,0.40940000000000004,0.3415,0.53955,52.904999999999994,60.455,8.764999999999999,9.655,0.50515,16.574999999999996,30.135,0.2835500000000001,0.47280000000000005,13.209999999999999,69.865,0.23319999999999994
BINGHAMTON,22.5,22.5,,,,,69.45,71.7,,24.8,54.7,0.45669999999999994,6.45,18.95,0.34105,18.35,35.75,0.5177000000000002,0.51685,13.4,18.85,0.6993,7.35,25.7,33.05,12.1,4.7,2.9,11.85,14.8,25.95,59.05,0.44370000000000004,7.45,23.1,0.329,18.5,35.95,0.5158,0.50705,12.35,17.85,0.7071500000000001,7.4,22.3,29.7,11.6,7.85,4.2,8.4,16.05,,,,69.45,71.7,,101.65,105.32000000000001,67.9,0.34835,0.34940000000000004,0.54955,52.470000000000006,48.949999999999996,6.8549999999999995,8.25,0.51685,15.77,24.2,0.24810000000000004,0.50705,11.105,75.8,0.21469999999999997
BOISE STATE,26.5,26.0,,,,,73.3157894736842,65.84210526315789,,24.789473684210527,54.89473684210526,0.4506315789473684,8.157894736842104,25.42105263157895,0.32100000000000006,16.63157894736842,29.473684210526315,0.5616315789473685,0.5257894736842106,15.473684210526315,20.0,0.772,8.68421052631579,23.68421052631579,32.36842105263158,13.68421052631579,6.0,2.526315789473684,9.789473684210526,16.736842105263158,23.42105263157895,52.63157894736842,0.44631578947368417,6.7894736842105265,19.263157894736842,0.3487368421052632,16.63157894736842,33.36842105263158,0.4986315789473684,0.5120526315789474,12.210526315789474,17.94736842105263,0.6830526315789474,5.421052631578948,20.31578947368421,25.736842105263158,11.578947368421053,5.0,3.0526315789473686,10.210526315789474,17.57894736842105,,,,73.3157894736842,65.84210526315789,,111.49473684210527,100.67368421052633,65.72105263157896,0.3718947368421053,0.4658947368421053,0.5682105263157894,55.584210526315786,55.415789473684214,8.973684210526315,7.4526315789473685,0.5257894736842106,13.210526315789474,29.57368421052632,0.2866842105263158,0.5120526315789474,14.263157894736842,70.43157894736841,0.23589473684210527
BOSTON COLLEGE,21.5,21.5,,,,,70.5,79.5,,25.45,58.2,0.43715000000000004,6.75,19.25,0.34454999999999997,18.7,38.95,0.48225000000000007,0.49455,12.85,18.0,0.71275,8.0,21.7,29.7,11.35,5.35,3.8,11.25,18.1,28.25,59.75,0.47195,7.35,20.5,0.3617,20.9,39.25,0.5296500000000001,0.5341499999999999,15.65,21.75,0.70865,9.65,24.2,33.85,13.1,6.85,3.1,9.85,16.0,,,,70.5,79.5,,100.39,113.095,67.67499999999998,0.31275,0.33085000000000003,0.5285,46.4,44.14,7.705000000000001,10.09,0.49455,14.515,24.43,0.22419999999999995,0.5341499999999999,12.395000000000001,75.58000000000001,0.2642999999999999
BOSTON UNIVERSITY,22.5,22.5,,,,,65.3,67.7,,23.4,54.15,0.43174999999999997,7.05,21.75,0.32315000000000005,16.35,32.4,0.50715,0.49715,11.45,16.95,0.66295,8.95,22.35,31.3,11.0,5.85,2.35,11.9,16.6,23.4,51.55,0.45535000000000003,7.65,21.2,0.36005,15.75,30.35,0.52085,0.5299,13.25,18.0,0.7333500000000001,5.65,20.6,26.25,12.05,7.15,3.0,10.0,16.0,,,,65.3,67.7,,100.43999999999998,104.165,63.614999999999995,0.3132499999999999,0.40335,0.5236500000000001,54.489999999999995,47.449999999999996,8.895,7.494999999999999,0.49715,16.075,30.064999999999998,0.20975000000000002,0.5299,14.24,69.94,0.26555
