School Name,Rk,Gtm,Score Tm_adv,Score OT_adv,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team 2P,Team 2PA,Team 2P%,Team eFG%,Team FT,Team FTA,Team FT%,Team ORB,Team DRB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,Team PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent 2P,Opponent 2PA,Opponent 2P%,Opponent eFG%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent DRB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,_bas,Type_bas,Score Rslt_bas,Score OT_bas,Advanced ORtg,Advanced DRtg,Advanced Pace,Advanced FTr,Advanced 3PAr,Advanced TS%,Advanced TRB%,Advanced AST%,Advanced STL%,Advanced BLK%,Offensive Four Factors eFG%,Offensive Four Factors TOV%,Offensive Four Factors ORB%,Offensive Four Factors FT/FGA,Defensive Four Factors eFG%,Defensive Four Factors TOV%,Defensive Four Factors DRB%,Defensive Four Factors FT/FGA
CAMPBELL,30,30,60.8,,22.6,55.4,0.4086,5.8,21.4,0.2602,16.8,34,0.4962,0.4602,9.8,14,0.7134,6.4,19.2,25.6,11.4,5.6,3.4,10,14.8,28.4,56,0.5062,8,18.2,0.439,20.4,37.8,0.5392,0.5778,10,12.6,0.7894,7.8,25.4,33.2,15.4,7.2,4,11.4,15.6,,,,,92.92,113.88,65.64,0.2594,0.3866,0.4892,43.52,50.66,8.44,9.12,0.4602,13.86,20.5,0.1802,0.5778,15.6,79.5,0.187
CANISIUS,29,29,65.8,,23.4,55.2,0.4236,7.8,23,0.3484,15.6,32.2,0.4774,0.4936,11.2,13.8,0.811,4.4,19.6,24,9.4,7.4,3,11.2,14.6,28.2,59.2,0.473,8.4,24,0.3572,19.8,35.2,0.5502,0.545,14.2,17.2,0.7916,8.2,25.8,34,14.8,6.8,4.2,11.2,14.2,,,,,93.74,114.12,69.48,0.2538,0.415,0.5274,41.28,40.62,10.24,8.62,0.4936,15.18,14.82,0.2052,0.545,14.02,85.18,0.2464
CENTRAL ARKANSAS,31,31,71,,24.8,55.8,0.4446,7.8,27.6,0.2804,17,28.2,0.6024,0.515,13.6,16.6,0.825,5.6,20.6,26.2,13.2,6,2.2,10.4,11.8,29.4,59,0.496,11.6,27.6,0.4282,17.8,31.4,0.569,0.5938,9.2,11.8,0.765,6,24.2,30.2,18,7.4,2.8,9.8,12.6,,,,,103.7,116.5,68.44,0.2982,0.493,0.5562,46.6,52.58,8.72,7,0.515,14.06,19.1,0.2434,0.5938,13.2,80.9,0.1602
CENTRAL CONNECTICUT STATE,33,33.5,65,,22.75,53.5,0.4225,7.75,21.25,0.344,15,32.25,0.472,0.49375,11.75,14.75,0.7995,6,25.5,31.5,11,8.5,4.25,11.25,13.25,23,58,0.3995,5,23.5,0.216,18,34.5,0.5205,0.442,7.25,12.75,0.48275,9.25,22,31.25,11.25,5.75,3.25,11.25,13.75,,,,,98.275,87.9,63.825,0.28625,0.39525,0.53325,50.175,45.075,12.7,12.25,0.49375,15.15,20.875,0.22625,0.442,14.975,79.125,0.12225
CENTRAL MICHIGAN,29,29,76.4,,27.4,58,0.4722,4.6,13.6,0.3588,22.8,44.4,0.517,0.5114,17,23.6,0.7562,9.6,24.6,34.2,12.4,7.2,3.2,10.4,15.6,25.2,61.2,0.412,9.4,26.4,0.3548,15.8,34.8,0.4562,0.4884,12.2,16,0.7764,10.8,20.4,31.2,11.4,5,3.6,12.8,20,,,,,108.78,102.4,67.16,0.4084,0.2352,0.5526,52.66,44.9,10.18,9.24,0.5114,12.9,31.94,0.294,0.4884,15.5,68.06,0.1992
CHARLESTON SOUTHERN,30,30,64.2,,22.2,54.8,0.4062,6.2,23.6,0.2622,16,31.2,0.5148,0.463,13.6,18.6,0.7174,8.6,21.2,29.8,9.8,4,2,13.8,15.2,29.6,57.8,0.5108,5.6,15.4,0.3652,24,42.4,0.5656,0.5592,13.8,18,0.7418,7.6,21.2,28.8,10.4,8.2,2.6,7.4,16.2,,,,,95.2,116.66,67.5,0.3462,0.4316,0.5044,50.66,44.22,5.98,4.58,0.463,17.7,28.46,0.2528,0.5592,10.06,71.56,0.2454
CHARLOTTE,31,31,68.6,,21.8,52.6,0.4142,7.8,23,0.3352,14,29.6,0.4828,0.488,17.2,23.2,0.7496,7.6,19.6,27.2,10.8,4.6,2.8,10.4,19.6,25.2,51,0.4946,5.6,15.8,0.3126,19.6,35.2,0.5544,0.5516,16.2,25.4,0.6418,7.4,21.8,29.2,11.6,5.6,4.6,9,19.2,,,,,104.54,110.24,65.56,0.4552,0.4376,0.5392,48.42,50.22,6.96,8.16,0.488,14,25.66,0.3378,0.5516,12.5,74.34,0.3256
CHATTANOOGA,35,34.5,85,,30.25,63.25,0.482,10.25,28.25,0.37525,20,35,0.57275,0.565,14.25,17.75,0.7815,7.25,24.5,31.75,16.25,7,2.75,7.5,15.5,29,60.5,0.48175,9.75,26.75,0.366,19.25,33.75,0.56175,0.56325,12.25,18.25,0.671,8.25,25.25,33.5,13.5,4.25,3.25,11.75,16.5,,,,,117.525,110.45,64.075,0.29,0.4495,0.5945,49.425,53.425,9.825,8.425,0.565,9.425,22.325,0.23425,0.56325,14.675,77.675,0.198
CHICAGO STATE,30,29.75,63,,23.6,57.2,0.4118,8.2,21.6,0.3766,15.4,35.6,0.4358,0.4842,9.2,11.4,0.8194,6.6,17.8,24.4,11.8,6.6,2.8,9.8,15.8,27.8,54.6,0.5132,8,20.4,0.378,19.8,34.2,0.5822,0.5902,13,16.8,0.7786,8.8,25.8,34.6,14.2,6.4,3,10.4,12.2,,,,,100.275,120.775,63.34,0.2014,0.3812,0.499,41.24,50.64,10.14,6.98,0.4842,13.32,19.18,0.159,0.5902,14.46,80.82,0.2516
CINCINNATI,32,31.5,64.75,,25.25,63.25,0.395,6,24.75,0.2305,19.25,38.5,0.48575,0.4425,8.25,12.25,0.6485,11.25,21,32.25,13.75,9.75,5.25,12.5,15.5,26.25,56.5,0.4645,7,16.5,0.46625,19.25,40,0.4915,0.52675,9.5,14,0.69775,8.25,25,33.25,14,8,1.75,15.75,13,,,,,90.9,98.15,70.5,0.1935,0.393,0.4635,49.025,55.45,13.55,13.05,0.4425,15.175,31.375,0.1295,0.52675,19.775,68.625,0.16675
CLEMSON,32,32,68,,24.4,58.4,0.417,5.8,21.4,0.2706,18.6,37,0.507,0.4674,13.4,17.6,0.754,11.4,22,33.4,9.4,8.2,2.6,11.8,15,23.4,55.6,0.4202,5,19.6,0.2416,18.4,36,0.5136,0.467,11.2,16.8,0.5958,9.2,21.4,30.6,10.6,7.6,4,12.2,16.6,,,,,101.7,93.7,66.88,0.3114,0.3756,0.5104,52.22,39.1,12.44,7.94,0.4674,15.18,34.72,0.2368,0.467,16.44,65.28,0.196
CLEVELAND STATE,34,34,70,,25.6,56.2,0.4534,5.2,14.6,0.3584,20.4,41.6,0.4822,0.5004,13.6,17,0.7948,9.6,19.4,29,10.6,7.8,4.6,11,17.2,23,52.6,0.4448,7.6,20.2,0.372,15.4,32.4,0.4778,0.5176,13.6,21.2,0.643,10,19.6,29.6,12.2,6.6,3.6,12.4,15,,,,,106.54,102.74,65.38,0.3036,0.2582,0.5452,50.04,41.92,11.84,14.28,0.5004,14.84,33,0.2416,0.5176,16.4,67,0.2744
COASTAL CAROLINA,30,30,71,,23.6,56.2,0.418,8.4,23.2,0.369,15.2,33,0.4556,0.4924,15.4,21.6,0.7344,9.2,26,35.2,12.4,2.6,2,9.6,18,24,61,0.3964,7.6,24.8,0.3032,16.4,36.2,0.476,0.4598,16.8,24.2,0.7176,11.8,22.6,34.4,9.6,6.4,2.6,5.8,17.6,,,,,106.56,109.4,66.7,0.3868,0.4152,0.532,50.5,53.48,3.84,5.84,0.4924,12.48,28.76,0.2752,0.4598,7.42,71.28,0.2772
COLGATE,31,31,70.2,,27,57,0.4722,7.8,22,0.3514,19.2,35,0.5512,0.5406,8.4,11.4,0.7186,6.2,23.8,30,14.4,7.6,2.2,11.4,13.4,26.8,57.8,0.4676,9,23.8,0.3838,17.8,34,0.5242,0.5476,7.6,10.6,0.7032,4.8,23.4,28.2,13.8,7,2.4,11.6,12.4,,,,,101.9,102.7,68.64,0.1978,0.3894,0.56,51.32,53.06,11,6.4,0.5406,15.54,20.4,0.1454,0.5476,15.66,79.6,0.1332
COLLEGE OF CHARLESTON,31,31,76.4,,26.6,56.8,0.465,9,23.2,0.3776,17.6,33.6,0.501,0.544,14.2,21.4,0.6666,7.8,25,32.8,15.8,6,2.8,10.8,14.6,26.2,61.6,0.4254,9.2,26.8,0.3452,17,34.8,0.4914,0.5006,10.2,12.8,0.8064,7.6,22.8,30.4,13.6,7.8,3.6,8.8,17.6,,,,,109.28,103.28,67.86,0.3818,0.4092,0.5668,51.8,59.1,8.64,8.16,0.544,13.96,25.26,0.2526,0.5006,11.62,74.74,0.1664
COLORADO,33,32.5,70,,23,53.5,0.43025,6.75,19,0.35625,16.25,34.5,0.468,0.49325,17.25,21.5,0.8045,8.75,24.5,33.25,13.5,7.5,3.5,13,17.25,22,55.75,0.39925,6.25,19.25,0.325,15.75,36.5,0.43825,0.45625,14.75,23.25,0.62775,10.5,21,31.5,8,10,3.25,12.25,19,,,,,102.6,95.3,68.275,0.4055,0.35375,0.5495,51.225,58.725,11.025,9.1,0.49325,16.95,29.55,0.32475,0.45625,15.5,70.45,0.27425
COLORADO STATE,34,33.8,73.6,,24.6,52.6,0.4732,8.8,22.4,0.3954,15.8,30.2,0.5184,0.5598,15.6,22.2,0.7232,7.6,22.4,30,14.4,4,1.8,9.4,16.4,22.6,57.6,0.392,7.2,26.6,0.2756,15.4,31,0.4998,0.4548,13.4,18.6,0.7408,9.8,20.6,30.4,10.6,6.4,3.2,9.8,18.2,,,,,111.88,99.98,65.68,0.4492,0.4276,0.5848,49.88,58.96,6.02,5.34,0.5598,12.98,25.96,0.3118,0.4548,12.7,74.04,0.2318
COLUMBIA,25,25,72.2,,26.2,62.2,0.4206,6.2,24,0.2594,20,38.2,0.524,0.4694,13.6,19.6,0.7076,7,24.6,31.6,16.8,4.4,1.8,11.2,16.4,33.6,65.6,0.5116,9.6,27,0.3514,24,38.6,0.6202,0.586,11.4,14.8,0.7568,7.2,28.2,35.4,20.2,6.2,4,8.2,16.4,,,,,96.44,117.92,74.66,0.3178,0.3828,0.5044,47.32,62.62,5.92,5.1,0.4694,13.7,19.06,0.221,0.586,10.2,80.94,0.1782
CONNECTICUT,33,33,71.6,,25.6,56,0.4654,7.6,24,0.3234,18,32,0.5796,0.5344,12.8,15.4,0.7794,10.6,24.2,34.8,14.2,6.2,3.8,9.2,19.6,19.8,50.2,0.3946,5.8,18,0.3172,14,32.2,0.431,0.453,17.2,24.2,0.7064,7.2,18.6,25.8,8.6,5.4,1.6,9.4,14.4,,,,,113.92,100.16,62.9,0.2794,0.43,0.5726,58.26,55.14,9.66,11.66,0.5344,12.58,36.18,0.2332,0.453,12.86,63.84,0.343
COPPIN STATE,28,28,71,,26.4,56.8,0.4648,6.2,16.8,0.3642,20.2,40,0.51,0.5186,12,16.6,0.7178,6,20.2,26.2,13.4,8.6,3.6,13.4,16.2,25.2,57.8,0.4354,6.2,16.6,0.3682,19,41.2,0.4536,0.4896,15.2,19.4,0.7888,10.2,23,33.2,12.4,8.2,3.8,15.8,15,,,,,98.22,100.4,70.66,0.2944,0.2956,0.5488,44.5,50.7,11.7,8.9,0.5186,17.16,21.36,0.211,0.4896,18.66,78.64,0.2646
CORNELL,27,27,92.6,,33.6,61,0.553,14.2,32.4,0.4354,19.4,28.6,0.6768,0.6694,11.2,14.4,0.7732,4.8,27.8,32.6,21.2,6,3,8.8,16.2,26.6,62.6,0.4248,8.2,28.4,0.2988,18.4,34.2,0.5488,0.4906,13.4,19.4,0.688,7.2,22.6,29.8,11.8,5,0.8,9.8,15.2,,,,,126.78,102.74,73.12,0.2384,0.5302,0.6866,52.8,62.6,8.1,8.08,0.6694,11.62,17.72,0.187,0.4906,11.74,82.28,0.2142
CREIGHTON,34,34,76.2,,28,58.2,0.4854,9,25.6,0.356,19,32.6,0.5806,0.5636,11.2,17.2,0.6452,7.6,23.4,31,15.6,3.8,3.2,9.6,12.8,30.4,66,0.4608,8.4,22.6,0.385,22,43.4,0.5054,0.5242,7.2,10.8,0.645,9.8,22.8,32.6,12,5.8,4,7.2,17,,,,,111.9,111.86,65.3,0.2994,0.4366,0.5774,48.36,56.08,5.24,7.56,0.5636,12.34,23.26,0.195,0.5242,8.92,76.74,0.1092
DARTMOUTH,26,26,70,,25,60,0.4188,7.2,26.8,0.2688,17.8,33.2,0.5394,0.4784,12.8,16.2,0.7764,6.2,29.8,36,13.2,4.2,3.8,10.8,12.6,27,65.8,0.4138,6.2,24.2,0.2548,20.8,41.6,0.5112,0.4624,8.6,13.4,0.6798,8,26.4,34.4,13.4,7.2,3.8,7.8,15,,,,,96.9,95.48,72.12,0.2774,0.4434,0.5192,51.14,52.86,5.8,8.96,0.4784,13.88,18.74,0.221,0.4624,9.72,81.26,0.1354
DAVIDSON,31,31,66.6,,24,55.8,0.43,7.8,24.2,0.3238,16.2,31.6,0.5196,0.4996,10.8,13.8,0.818,5.2,21.2,26.4,13.2,5.2,3.2,10,13.2,27,55.8,0.4848,9.6,25.2,0.377,17.4,30.6,0.578,0.5712,11.2,15,0.7622,6.4,26,32.4,14.6,5.8,2.8,10.2,14.6,,,,,99.34,111.64,66.94,0.2596,0.434,0.5338,44.92,55.1,7.68,10.44,0.4996,13.8,16.1,0.2012,0.5712,13.92,83.9,0.202
DAYTON,32,32,76,,27.2,61.4,0.4472,10.6,26.8,0.3948,16.6,34.6,0.4908,0.5348,11,15,0.7322,8.6,22.8,31.4,15.2,5.2,4,9,17.2,25.4,58,0.445,9,27.2,0.3412,16.4,30.8,0.537,0.5238,16.6,21.6,0.8054,8,23.6,31.6,11.8,6.4,4,8.8,15.2,,,,,110.74,111.34,67.28,0.2492,0.4396,0.5576,49.48,55.9,7.52,12.7,0.5348,11.64,26.76,0.1826,0.5238,11.48,73.24,0.2918
DELAWARE,34,34,82.6,,29.4,57.4,0.5152,9.8,21.8,0.4408,19.6,35.6,0.563,0.6012,14,18,0.7844,6.2,23.8,30,16.6,5.6,3.6,8.4,17,25,60,0.4212,6.6,22.4,0.2998,18.4,37.6,0.4894,0.4754,16.2,21.8,0.7362,9.8,21.6,31.4,10.6,4.8,3.6,8.4,17,,,,,120.36,106.76,68.56,0.327,0.386,0.6278,48.7,55.9,8.26,9.72,0.6012,11.18,21.5,0.2536,0.4754,10.64,78.5,0.2724
DELAWARE STATE,28,28,80.4,,28.2,58.8,0.4846,4.8,11.8,0.4278,23.4,47,0.499,0.5258,19.2,27,0.7116,12.4,18.2,30.6,11.6,10.6,2.8,14.2,17.2,27,54.6,0.4936,7.8,19.2,0.4104,19.2,35.4,0.5444,0.5658,17.6,23,0.7594,9.2,18,27.2,14,6.4,2.8,15.8,21.2,,,,,110.7,109.08,71.06,0.471,0.1964,0.5664,52.58,41.58,14.82,8.12,0.5258,16.52,39.86,0.3382,0.5658,19.54,60.14,0.3254
DENVER,30,30,70.2,,24.4,54.2,0.4478,6.6,17,0.3888,17.8,37.2,0.4788,0.5074,14.8,18,0.8422,7,22.6,29.6,9,7.6,4,12.8,22,22.2,51.4,0.433,8.4,20.6,0.3796,13.8,30.8,0.4486,0.5134,18.2,25.8,0.7056,7.4,21,28.4,11.2,7.4,2.2,12.6,17.6,,,,,101.82,103.14,67.02,0.3496,0.3118,0.557,50.8,37.08,10.98,13.14,0.5074,16.96,24.86,0.2846,0.5134,16.38,75.14,0.3596
DEPAUL,32,31.5,78.75,,29.25,57,0.51725,9.75,23.25,0.43125,19.5,33.75,0.586,0.603,10.5,14.75,0.69925,4.25,24.5,28.75,17.5,6.75,4.75,10.5,17,28,63.75,0.44125,7.5,24.5,0.30575,20.5,39.25,0.52425,0.49925,13,18.25,0.709,9.75,22.5,32.25,13.5,7.25,2.5,9.5,14.75,,,,,110.925,107.45,67.3,0.27,0.40775,0.619,47.075,60.35,9.325,11.975,0.603,14,14.65,0.1945,0.49925,11.625,85.35,0.20875
DETROIT MERCY,30,30,69.8,,25.6,58.2,0.4412,6.2,19.6,0.3194,19.4,38.6,0.5064,0.4948,12.4,18.2,0.6704,10.2,22.2,32.4,10.8,4.8,3,13.6,20.2,26.8,57.8,0.4604,9.4,23.6,0.396,17.4,34.2,0.507,0.5414,20.4,26.6,0.7646,8.6,20.8,29.4,16.6,9.4,2.2,7.6,17.4,,,,,99.92,119.18,69.84,0.3186,0.3374,0.5238,52.12,42.14,6.82,8.52,0.4948,16.98,32.9,0.2182,0.5414,9.72,67.1,0.358
DRAKE,33,33,64.2,,22.2,49.4,0.4502,6,16.8,0.3772,16.2,32.6,0.4988,0.5104,13.8,21.6,0.6434,8.6,18.6,27.2,13.4,9.2,3.4,7.8,15.6,19.8,46.6,0.4216,4.6,18.8,0.238,15.2,27.8,0.539,0.472,12.8,16.6,0.7132,6.8,19.4,26.2,12.6,5,2.2,11.2,16.8,,,,,109.32,96.6,58.9,0.447,0.3388,0.5388,51.24,59.04,15.66,13.56,0.5104,11.5,30.84,0.2864,0.472,16.92,69.16,0.2756
DREXEL,31,31,71,,25,53.8,0.4622,8.2,19.4,0.3852,16.8,34.4,0.4878,0.5358,12.8,17.4,0.7262,8.8,21.8,30.6,13.4,4,4.6,9.6,13.8,24.2,58.4,0.4134,7,19.8,0.346,17.2,38.6,0.4468,0.474,9.4,14.4,0.6468,10.6,17.4,28,10.4,5.8,4.6,8,15.2,,,,,113.66,103.58,62.76,0.3244,0.3546,0.5676,52.24,54.22,6.42,11.9,0.5358,13.56,32.72,0.239,0.474,11,67.28,0.166
DUKE,36,36,88,,29.8,55.2,0.544,10.6,23.6,0.4668,19.2,31.6,0.6132,0.6414,17.8,21.6,0.8168,6,27.6,33.6,17.8,5,5,7.6,14.8,24.4,65.2,0.374,8,27.2,0.2972,16.4,38,0.4326,0.4344,10.2,13,0.7498,9.6,18.8,28.4,10.8,4.2,1.8,8.6,18,,,,,128.36,97.8,68.74,0.4092,0.427,0.6762,54.1,59.08,7.22,13.06,0.6414,10.34,24.62,0.3376,0.4344,10.74,75.4,0.1556
DUQUESNE,30,30,72.2,,26,54.4,0.4772,8.4,24.6,0.325,17.6,29.8,0.5964,0.5544,11.8,17.2,0.7022,9,21.6,30.6,14.2,7.8,3.8,14,16.4,24.2,54,0.4498,7.6,21.2,0.3558,16.6,32.8,0.5134,0.52,15,18.6,0.7946,8,19.8,27.8,12.6,8,3,13.6,16.8,,,,,105.78,103.98,66.36,0.3366,0.4558,0.5764,52.52,54.72,11.44,11.64,0.5544,18.42,30.62,0.23,0.52,17.8,69.38,0.2912
EAST CAROLINA,31,31,70.2,,25.2,60.2,0.42,6.4,20.8,0.29,18.8,39.4,0.4812,0.4722,13.4,18,0.7948,9.2,22.4,31.6,14,6.4,4.4,9.2,14.6,27.4,60.4,0.4538,7.4,20.4,0.3574,20,40,0.4992,0.5148,13.8,18.2,0.7504,9.2,25.8,35,15,7.4,4.4,10,15.4,,,,,101.22,109.36,69.3,0.3082,0.342,0.5118,47.84,53.72,9.28,11.4,0.4722,11.84,26.4,0.2276,0.5148,12.84,73.6,0.2274
EAST TENNESSEE STATE,30,30,67.6,,23.2,50.4,0.4644,7.6,19.4,0.4114,15.6,31,0.5014,0.54,13.6,21.4,0.6444,7.2,24.4,31.6,12.2,8.2,3.6,9.4,14.4,21.6,53.4,0.4052,9.4,26.8,0.347,12.2,26.6,0.4578,0.4946,10,14.4,0.796,8.4,20.6,29,10.6,7,1.6,10.6,16.8,,,,,108.48,100.36,62.62,0.4504,0.3826,0.5606,52.16,50.98,12.96,12.34,0.54,13.28,26.5,0.2856,0.4946,14.94,73.5,0.1938
EAST TEXAS A&M,29,29,68.6,,24,57.4,0.4192,8.4,26,0.3296,15.6,31.4,0.5066,0.493,12.2,16.8,0.7242,7.8,19.2,27,16,9.4,4.8,11.2,17.2,26.2,55.4,0.4756,6.4,16,0.38,19.8,39.4,0.5012,0.5366,14,22.2,0.6198,10.6,25,35.6,15.2,7.2,4.4,13.2,14.8,,,,,99.98,106.48,68.7,0.2918,0.4562,0.5264,42.72,66.28,13.52,12.9,0.493,14.7,23.44,0.2116,0.5366,16.58,76.56,0.2544
EASTERN ILLINOIS,29,29,68.4,,23,56,0.4134,6.2,16.4,0.3948,16.8,39.6,0.4274,0.4692,16.2,20,0.8208,9,20.6,29.6,10.8,11.2,2.8,12.6,17.8,21,52.6,0.398,7.8,23.4,0.3272,13.2,29.2,0.4446,0.472,11.4,17.6,0.6552,9,22,31,11.6,6.8,3,16.8,16.8,,,,,99.48,89.12,68.96,0.3678,0.2914,0.5248,48.36,47.26,16.2,10.18,0.4692,16.08,28.58,0.2978,0.472,21.62,71.42,0.2172
EASTERN KENTUCKY,30,30,69.6,,25.8,61.8,0.4168,7.8,24.8,0.3304,18,37,0.4816,0.4794,10.2,13.8,0.7118,11.6,20.4,32,11.6,8,1.6,8.6,18.2,24.4,55,0.4474,7.4,22.4,0.3232,17,32.6,0.5154,0.5138,14.8,20.2,0.7362,8.2,24.6,32.8,12.6,5.6,1.6,10.4,15.4,,,,,105.28,107.72,66.08,0.2242,0.3994,0.5078,48.98,44.44,12.06,5.04,0.4794,11.14,32.3,0.1646,0.5138,13.88,67.7,0.2734
EASTERN MICHIGAN,30,30,74.4,,27,59.2,0.4592,8.6,24,0.3614,18.4,35.2,0.5256,0.5314,11.8,14.2,0.7634,9.4,22,31.4,10.8,7.8,4,12.4,19.2,24.4,55.4,0.4408,8.8,22,0.3924,15.6,33.4,0.4618,0.5208,17.2,24,0.7124,8.8,21,29.8,13.2,6.8,3,11.6,16.2,,,,,107.36,107.98,69.28,0.2498,0.4042,0.566,51.3,40.1,11.22,11.88,0.5314,15.98,29.62,0.2106,0.5208,14.84,70.38,0.3084
EASTERN WASHINGTON,30,30,62,,22.4,50.6,0.4404,6.2,18.2,0.3376,16.2,32.4,0.506,0.5034,11,13.4,0.8042,5.4,18.2,23.6,13.6,5.2,2.8,12.4,19.6,26.6,54,0.494,6.8,17.6,0.3996,19.8,36.4,0.542,0.5578,16,20.8,0.7824,7.8,21.8,29.6,13.4,8.4,1,10.2,15.6,,,,,95.1,116.52,65.16,0.2846,0.371,0.5452,45.1,62.22,8,7.94,0.5034,17.9,20.18,0.2354,0.5578,13.84,79.82,0.2986
ELON,31,31,72.8,,24.8,53.6,0.4628,8.2,22.4,0.3676,16.6,31.2,0.5342,0.539,15,19,0.8076,9.4,24,33.4,12.2,3.6,4,12.4,17.8,27,60.2,0.4526,12,29.2,0.429,15,31,0.483,0.5524,14.6,21.4,0.6814,10,18.2,28.2,16.4,7.4,2,5.6,16.8,,,,,110.84,122.96,65.82,0.3586,0.418,0.5812,54.1,49,5.48,13.18,0.539,16.42,33.6,0.2824,0.5524,7.44,66.4,0.2508
EVANSVILLE,30,30,64.6,,23.6,52.6,0.4458,5.4,18.6,0.2794,18.2,34,0.5344,0.4962,12,15.8,0.7626,4.2,23.4,27.6,9.6,5.2,5,11.8,17,23.4,56.8,0.4134,8.4,25,0.3354,15,31.8,0.4752,0.4884,16.2,20.2,0.791,8.2,23.8,32,16,8.8,2.8,9.2,15.6,,,,,95.38,105.94,67.54,0.3074,0.3504,0.5356,46.44,40.54,7.66,15.86,0.4962,16.66,13.76,0.2326,0.4884,12.24,86.24,0.2862
FAIRFIELD,30,30,67.2,,26.2,61,0.433,5.8,21.6,0.2532,20.4,39.4,0.516,0.4796,9,12.4,0.7392,6.4,22.8,29.2,12,9.4,4.4,9.8,15,26.4,60,0.44,8.8,24,0.3596,17.6,36,0.4906,0.5134,10,12.6,0.8424,9.6,26,35.6,15.8,6.8,2.4,15,14.2,,,,,94.9,101.26,70.84,0.205,0.3524,0.504,44.62,46.76,13.12,12.14,0.4796,12.84,19.32,0.1492,0.5134,18.7,80.68,0.1672
FDU,32,32.5,70,,25.4,60.6,0.423,7.4,25.4,0.2922,18,35.2,0.5142,0.4824,13.8,18,0.7618,7.4,23.4,30.8,12.6,8.2,2.2,10.2,13.8,27,60.4,0.4458,7,22.2,0.3058,20,38.2,0.5252,0.5038,11,15.2,0.7146,9.4,25.8,35.2,10.8,7.6,3,13.6,15.4,,,,,98.825,96.6,68.54,0.3014,0.4118,0.52975,46.84,48.6,11.52,6.62,0.4824,13.08,21.58,0.2282,0.5038,16.8,78.42,0.1834
FLORIDA,36,36,85.8,,26.6,57.6,0.4616,9.6,26,0.3776,17,31.6,0.542,0.5454,23,28.6,0.8092,13.2,24.4,37.6,14,5,2.6,11,19.4,25.4,60,0.4242,6.8,23,0.2826,18.6,37,0.5086,0.4814,16.6,21.4,0.7554,10,16.4,26.4,11.8,7.8,2.6,8.6,20,,,,,124.62,107.76,68.9,0.5026,0.4488,0.6026,59.18,52.16,7.28,6.34,0.5454,13.36,44.44,0.4012,0.4814,11.02,55.56,0.2946
FLORIDA A&M,29,29,73.8,,24.4,52,0.4746,7.6,24.8,0.3098,16.8,27.2,0.6312,0.5494,17.4,24.4,0.7254,5.6,22.8,28.4,13.4,4.2,3.2,9.8,18.2,25.2,54.8,0.4636,7.6,20.6,0.3774,17.6,34.2,0.5194,0.5332,16.8,24.6,0.6776,6.8,21.8,28.6,12,4.8,2.4,7.8,17.4,,,,,109.18,110.62,67.64,0.5048,0.4824,0.5846,49.74,53.68,6.22,9.46,0.5494,13.5,20.48,0.3594,0.5332,10.48,79.52,0.3122
FLORIDA ATLANTIC,32,32,76,,27.2,57.8,0.4772,7.4,22.2,0.324,19.8,35.6,0.5564,0.5398,14.2,21.6,0.675,9.6,24.8,34.4,17.4,3.6,5.8,10,17.4,25.2,58.8,0.4276,6.4,19.8,0.3146,18.8,39,0.4914,0.4838,17.2,23.4,0.726,8.4,19.6,28,12.4,6.4,3,6.8,16,,,,,111.02,107.9,68.38,0.3862,0.373,0.5622,54.86,63.66,5.28,14.7,0.5398,12.88,31.4,0.2486,0.4838,8.96,68.6,0.2946
FLORIDA GULF COAST,32,32,72.8,,28.4,61,0.4638,7.8,20.8,0.3702,20.6,40.2,0.509,0.5272,8.2,13.4,0.5932,11,27.8,38.8,14,5.4,1.8,11.6,15.4,24,58.6,0.412,8.6,24,0.3614,15.4,34.6,0.4538,0.4844,13.6,18.8,0.7102,7,22.6,29.6,11.6,7,3.6,8,13.6,,,,,106.72,102.88,68.26,0.2206,0.3418,0.5386,56.98,49.04,7.9,5.32,0.5272,14.68,33.26,0.1352,0.4844,10.6,66.74,0.2356
FLORIDA INTERNATIONAL,31,31,64.4,,22,58.8,0.3728,5.4,21,0.2548,16.6,37.8,0.436,0.4204,15,21.6,0.6816,9,24,33,10,7.4,4,10.6,16,25.8,61.4,0.4214,7,24.2,0.2676,18.8,37.2,0.5128,0.4794,14.2,19.4,0.7042,9.6,26.4,36,13,6.8,3.8,11,17.2,,,,,90.18,102.16,68.04,0.3702,0.3616,0.466,47.86,45.28,10.4,10.38,0.4204,13.38,25.96,0.2546,0.4794,13.42,74.04,0.231
FLORIDA STATE,30,30,69,,23.8,55,0.4364,6.4,18.4,0.3334,17.4,36.6,0.4814,0.4948,15,20.4,0.719,7.4,21.2,28.6,11,4.6,4.2,10.6,20.4,26.8,59.6,0.449,7.6,23.6,0.309,19.2,36,0.528,0.5142,17,23.2,0.7314,9.8,23.4,33.2,13.6,5,3.6,9,18,,,,,100.14,112.92,68.84,0.3832,0.3334,0.5338,46.44,45.66,6.88,12.76,0.4948,13.94,23.88,0.282,0.5142,11.72,76.12,0.2778
