School Name,Rk,Gtm,Score Tm_adv,Score OT_adv,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team 2P,Team 2PA,Team 2P%,Team eFG%,Team FT,Team FTA,Team FT%,Team ORB,Team DRB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,Team PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent 2P,Opponent 2PA,Opponent 2P%,Opponent eFG%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent DRB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,_bas,Type_bas,Score Rslt_bas,Score OT_bas,Advanced ORtg,Advanced DRtg,Advanced Pace,Advanced FTr,Advanced 3PAr,Advanced TS%,Advanced TRB%,Advanced AST%,Advanced STL%,Advanced BLK%,Offensive Four Factors eFG%,Offensive Four Factors TOV%,Offensive Four Factors ORB%,Offensive Four Factors FT/FGA,Defensive Four Factors eFG%,Defensive Four Factors TOV%,Defensive Four Factors DRB%,Defensive Four Factors FT/FGA
ARIZONA,35,35,84.6,,31,63.8,0.4844,9.4,21,0.444,21.6,42.8,0.5046,0.5566,13.2,18,0.6866,11,26.2,37.2,12.6,5.4,4.8,10,19.2,27.6,61.6,0.4512,8.6,23,0.3842,19,38.6,0.4924,0.5222,16.2,22.2,0.7494,8,20.4,28.4,10.8,4.2,4.4,8,17.4,,,,,117.66,111.82,71.74,0.2824,0.3274,0.5826,56.02,39.26,7.5,12.42,0.5566,12.14,35.02,0.2078,0.5222,10,64.98,0.2678
ARIZONA STATE,31,31,74.8,,25,59,0.4218,7,20.2,0.339,18,38.8,0.468,0.4792,17.8,23.2,0.7592,7.2,19.8,27,10.2,2.6,2.8,8.4,19.4,31.4,60,0.523,9.6,24.6,0.3952,21.8,35.4,0.6124,0.6026,18.4,24,0.7652,7.6,27.4,35,18,5.8,4.4,7.8,19,,,,,104.36,127,71.42,0.3948,0.3412,0.5298,43.44,40.18,3.66,7.7,0.4792,10.64,20.44,0.3016,0.6026,9.86,79.56,0.3034
ARKANSAS,34,34,77.8,,26.6,61,0.437,6.4,22.4,0.2782,20.2,38.6,0.5236,0.4898,18.2,23.4,0.8024,10,24.2,34.2,11.8,7.4,5,10.8,16,26.6,67.8,0.396,6.8,23.6,0.2986,19.8,44.2,0.45,0.448,14.8,19.2,0.7862,14.2,23,37.2,11,7.4,3.4,10.2,18.2,,,,,106.64,102.36,71.26,0.3864,0.3684,0.5406,48.04,44.48,10.16,11.52,0.4898,13.04,29.58,0.2998,0.448,12.04,70.42,0.2226
ARKANSAS STATE,34,34,79.6,,27.6,65,0.4212,10.2,29,0.342,17.4,36,0.4804,0.4996,14.2,19.8,0.7068,11.6,24,35.6,14.6,6.8,4.4,7.6,18.8,26,59.4,0.4388,5.6,18.4,0.2954,20.4,41,0.5034,0.4858,18.8,25.4,0.723,9.8,26,35.8,10,4.6,5,9,16.2,,,,,112.26,108.04,70.54,0.311,0.4488,0.533,49.74,52.42,9.62,10.4,0.4996,9.24,30.76,0.2238,0.4858,11.18,69.24,0.3146
ARKANSAS-PINE BLUFF,29,29,69.2,,26.2,53.4,0.4926,6.2,16.8,0.4144,20,36.6,0.548,0.5514,10.6,18.8,0.5736,7.4,22,29.4,15.2,5.8,2,12,14,25.2,57.6,0.4374,8.8,24.4,0.3492,16.4,33.2,0.4908,0.5134,9.6,15,0.6212,10.4,19.2,29.6,11.8,6.4,2.6,11.6,16.8,,,,,104.7,103.24,66.44,0.3558,0.3158,0.5558,50.34,59.44,8.74,6.02,0.5514,16.06,28.58,0.2002,0.5134,15.2,71.42,0.1662
ARMY,31,31,67,,23.2,64.8,0.3582,7,28,0.2372,16.2,36.8,0.4382,0.4116,13.6,19,0.6948,9,20.8,29.8,11,7.4,1.2,7.8,16.8,27.8,56.8,0.4892,9.2,23.2,0.3974,18.6,33.6,0.5508,0.5702,15.2,18.8,0.7914,7.4,31.4,38.8,16,4,4,11.6,17.4,,,,,94.24,112.06,71.3,0.2944,0.429,0.4524,43.2,46.9,10.26,3.58,0.4116,9.56,21.56,0.2102,0.5702,14.86,78.44,0.272
AUBURN,35,35,75.6,,26.8,62.2,0.4314,7.8,25.6,0.3068,19,36.6,0.5288,0.4946,14.2,22.6,0.6392,11.4,24,35.4,14.2,5.2,4,9,17.4,22.2,57,0.3938,7,22.2,0.309,15.2,34.8,0.4484,0.4558,15,19.8,0.7366,7.6,23.4,31,9.6,6,3.2,10.6,19.4,,,,,108.22,95.8,69.98,0.3686,0.4132,0.5178,53.12,53.52,7.44,11.66,0.4946,10.68,32.68,0.2294,0.4558,13.76,67.32,0.2736
AUSTIN PEAY,31,31,78.8,,29.2,61,0.4744,8.2,20.6,0.3882,21,40.4,0.5114,0.5416,12.2,15.6,0.7568,7.4,22.6,30,14.4,5.8,3.2,7.8,17.4,27.4,56,0.494,10.4,23.2,0.4314,17,32.8,0.528,0.5908,15.8,21.6,0.73,6.6,22.8,29.4,15,5.8,4.8,8.8,13.2,,,,,115.22,119.86,68.64,0.2614,0.3408,0.5738,50.76,50.28,8.22,11.18,0.5416,10.12,24.56,0.2056,0.5908,11.66,75.44,0.291
BALL STATE,29,29,69.4,,24.4,59.4,0.4116,6.6,20.2,0.337,17.8,39.2,0.453,0.4682,14,18.6,0.781,8.2,23.8,32,11.4,3.8,3.2,10.2,15.6,27.2,60.6,0.4476,7.2,25.2,0.2752,20,35.4,0.564,0.5046,10.8,14.4,0.7588,7.4,26.2,33.6,12.2,5.4,3.4,8.8,19.2,,,,,99.48,103.98,69.54,0.318,0.34,0.5084,48.28,47.38,5.32,8.92,0.4682,13,23.04,0.2402,0.5046,11.48,76.96,0.1846
BAYLOR,33,33,69.2,,25.4,62,0.4102,6.8,23,0.2926,18.6,39,0.4726,0.4648,11.6,14.8,0.7762,12.2,19.8,32,11.6,5.8,2.4,6.2,15.8,24.6,53.6,0.4686,9.6,26,0.372,15,27.6,0.5628,0.5594,12.8,16.6,0.7702,8.8,22,30.8,12.6,3.8,2.4,8,15,,,,,111.8,115.68,61.86,0.241,0.3716,0.5016,50.92,46.16,9.3,8.54,0.4648,8.14,35.62,0.189,0.5594,11.44,64.38,0.2478
